OrderID         CustomerID      ItemCode        Quantity
T001            cp1             W001            10
T002            cp1             C001            10
T003            cp123           W001            100
T004            cp12            W001            10
T005            cp12            W001            10
T006            cp12            W001            10
T006            cp12            W002            10
T006            cp12            D001            10
T007            cp12            W001            10
T007            cp12            B001            10
T007            cp12            W001            10
T008            cp12            W002            10
T008            cp12            I001            10
T008            cp12            C001            100
T009            jw              I003            10
T009            jw              B005            20
T0010           hjw22           B001            3
